STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SEX_POPES_SUB_006,Sex,AGE_POPES_SUB_006,Age,YEAR_POPES_SUB_006,Year at 30 June,AREA_POPES_SUB_006,Area,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2016,2016,055,Buller District,10300,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,058,Hurunui District,12950,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2022,2022,027,Ōpōtiki District,10250,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,046,Lower Hutt City,108600,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2024,2024,064,Timaru District,49400,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2023,2023,017,Waipa District,60500,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,034,Stratford District,9710,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,072,Clutha District,18050,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2016,2016,073,Southland District,31400,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2025,2025,071,Dunedin City,132800,
